date,000905.SH_成交额
2005-01-04,1329187122.0
2005-01-05,1919861791.0
2005-01-06,1629216031.0
2005-01-07,1906530712.0
2005-01-10,1650218869.0
2005-01-11,1778497883.0
2005-01-12,1825638693.0
2005-01-13,2716827481.0
2005-01-14,2284638759.0
2005-01-17,2418653726.0
2005-01-18,2523669419.0
2005-01-19,2304569213.0
2005-01-20,2588992483.0
2005-01-21,3412342279.0
2005-01-24,4105828975.0
2005-01-25,2651186737.0
2005-01-26,2238628613.0
2005-01-27,2214822674.0
2005-01-28,2106037353.0
2005-01-31,2058937471.0
2005-02-01,2076599356.0
2005-02-02,3522826077.0
2005-02-03,3476526549.0
2005-02-04,2874284614.0
2005-02-16,2555290412.0
2005-02-17,2081885379.0
2005-02-18,2134898913.0
2005-02-21,2568576863.0
2005-02-22,5328306279.0
2005-02-23,5822771921.0
2005-02-24,4874675166.0
2005-02-25,5608389732.0
2005-02-28,4174609104.0
2005-03-01,3803211754.0
2005-03-02,4197819827.999999
2005-03-03,2991525954.0
2005-03-04,2551598958.0
2005-03-07,2595513439.0
2005-03-08,4502177472.0
2005-03-09,5012633412.0
2005-03-10,4259483416.0
2005-03-11,3681413477.0
2005-03-14,4838849569.0
2005-03-15,4049428975.0
2005-03-16,3199203625.0
2005-03-17,3178910836.0
2005-03-18,3123548577.0
2005-03-21,2502435568.0
2005-03-22,3283723310.0
2005-03-23,3122090437.0
2005-03-24,2510676346.0
2005-03-25,2271998365.0
2005-03-28,2155906688.0
2005-03-29,1999394257.0
2005-03-30,2457661169.0
2005-03-31,2042255429.0
2005-04-01,3665270899.0
2005-04-04,2893226429.0
2005-04-05,2391142553.0
2005-04-06,3830190110.0
2005-04-07,5349441629.0
2005-04-08,4357191759.0
2005-04-11,4741992562.0
2005-04-12,3247372938.0
2005-04-13,4490048505.0
2005-04-14,3795040134.0
2005-04-15,3459646367.0
2005-04-18,2575525210.0
2005-04-19,2427298091.0
2005-04-20,2598639279.0
2005-04-21,3136724162.0
2005-04-22,3135517460.0
2005-04-25,2874936589.0
2005-04-26,2916330757.0
2005-04-27,2978917961.0
2005-04-28,3771427201.0
2005-04-29,2897477422.0
2005-05-09,2068561512.0
2005-05-10,2367569440.0
2005-05-11,2279227682.0
2005-05-12,2220225105.0
2005-05-13,2399090157.0
2005-05-16,2010607218.0
2005-05-17,2184321836.0
2005-05-18,1982282524.0
2005-05-19,2170371655.0
2005-05-20,1945065867.0
2005-05-23,1802802915.0
2005-05-24,1976718785.0
2005-05-25,2206568910.0
2005-05-26,2104358596.0
2005-05-27,1818239407.0
2005-05-30,1627664116.0
2005-05-31,1769831486.0
2005-06-01,1920798554.0
2005-06-02,2099951737.0
2005-06-03,1841785231.0
2005-06-06,1973905289.0
2005-06-07,3116981334.0
2005-06-08,6612786780.0
2005-06-09,7083905756.0
2005-06-10,4618584575.0
2005-06-13,3143331122.0
2005-06-14,3214101518.0
2005-06-15,2611882535.0
2005-06-16,2463681172.0
2005-06-17,2541412672.0
2005-06-20,3695814708.0
2005-06-21,2928451825.0
2005-06-22,2228747206.0
2005-06-23,2368349381.0
2005-06-24,1868202982.0
2005-06-27,4445204662.0
2005-06-28,2677620074.0
2005-06-29,2397803068.0
2005-06-30,2487038569.0
2005-07-01,2803467961.0
2005-07-04,2464867355.0
2005-07-05,1957584553.0
2005-07-06,1849285309.0
2005-07-07,1689526507.0
2005-07-08,2074276437.0
2005-07-11,2115139680.0
2005-07-12,2925420187.0
2005-07-13,2534914868.0
2005-07-14,2238519576.0
2005-07-15,2376343496.0
2005-07-18,1869008405.0
2005-07-19,1665130039.0
2005-07-20,1771294806.0
2005-07-21,1948020673.0
2005-07-22,3877378333.0
2005-07-25,2427919376.0
2005-07-26,3765644687.0
2005-07-27,3880395437.0
2005-07-28,4372350126.0
2005-07-29,2815158251.0
2005-08-01,2559324066.0
2005-08-02,3550207898.0
2005-08-03,5550136894.0
2005-08-04,3626523924.0
2005-08-05,5533624993.0
2005-08-08,7002623029.0
2005-08-09,6101487287.0
2005-08-10,6584951194.0
2005-08-11,7294366339.0
2005-08-12,7822259553.0
2005-08-15,5910134742.0
2005-08-16,7207373072.0
2005-08-17,7512966671.0
2005-08-18,9560360288.0
2005-08-19,6154915639.0
2005-08-22,4163217016.0
2005-08-23,3972885901.0
2005-08-24,3843597951.0
2005-08-25,4467612011.0
2005-08-26,5071290126.0
2005-08-29,4519192344.0
2005-08-30,4041234187.0
2005-08-31,4923412337.0
2005-09-01,7438827221.0
2005-09-02,6860942930.0
2005-09-05,5688037076.0
2005-09-06,7680093922.0
2005-09-07,6427215445.0
2005-09-08,6867746252.0
2005-09-09,4923128531.0
2005-09-12,3536951802.0
2005-09-13,5855690757.0
2005-09-14,7824404409.0
2005-09-15,6488990073.0
2005-09-16,5247184805.0
2005-09-19,5691535255.0
2005-09-20,7657830324.0
2005-09-21,7226512985.0
2005-09-22,6671951660.0
2005-09-23,4676865548.0
2005-09-26,3388518590.0
2005-09-27,4224674796.0
2005-09-28,3557058811.0
2005-09-29,4257378974.000001
2005-09-30,3718773617.0
2005-10-10,2951252757.0
2005-10-11,3795362544.0
2005-10-12,4850252978.0
2005-10-13,4252389601.0
2005-10-14,3964014247.0
2005-10-17,3784372720.0
2005-10-18,4925305812.0
2005-10-19,4721479562.0
2005-10-20,4825303991.0
2005-10-21,5016318205.0
2005-10-24,4214112192.0
2005-10-25,4083950279.0
2005-10-26,4389740208.0
2005-10-27,3752921927.0
2005-10-28,3980409645.0
2005-10-31,2962992897.0
2005-11-01,3125533566.0
2005-11-02,4040775904.0
2005-11-03,3426888486.0
2005-11-04,3104914686.0
2005-11-07,2821363619.0
2005-11-08,3303265390.0
2005-11-09,3571895901.0
2005-11-10,3914752386.0
2005-11-11,2808468946.0
2005-11-14,1921799553.0
2005-11-15,2615555590.0
2005-11-16,2344493570.0
2005-11-17,2365641062.0
2005-11-18,4229046189.000001
2005-11-21,2877318510.0
2005-11-22,2812886141.0
2005-11-23,2233518032.0
2005-11-24,2482279680.0
2005-11-25,2156572262.0
2005-11-28,2153318286.0
2005-11-29,2057572878.0
2005-11-30,2293872243.0
2005-12-01,1862984123.0
2005-12-02,1933484767.0
2005-12-05,2126599956.0
2005-12-06,1632508124.0
2005-12-07,1696603323.0
2005-12-08,1749825135.0
2005-12-09,2517195976.0
2005-12-12,2505643034.0
2005-12-13,2266932497.0
2005-12-14,2648663890.0
2005-12-15,2877301198.0
2005-12-16,2459177637.0
2005-12-19,2214327148.0
2005-12-20,2031096992.0
2005-12-21,2292433378.0
2005-12-22,2362375114.0
2005-12-23,3001294031.0
2005-12-26,3672350801.0
2005-12-27,3109676602.0
2005-12-28,2732415116.0
2005-12-29,4216989536.999999
2005-12-30,3926993057.0
2006-01-04,4000198215.0
2006-01-05,5213044132.0
2006-01-06,6451093877.0
2006-01-09,6030602226.0
2006-01-10,5314702723.0
2006-01-11,6188643247.0
2006-01-12,6571664360.0
2006-01-13,6715980154.0
2006-01-16,6025374116.0
2006-01-17,4382590624.0
2006-01-18,5567521521.0
2006-01-19,6660488215.0
2006-01-20,7271723190.0
2006-01-23,6867931556.0
2006-01-24,7093103730.0
2006-01-25,6429186424.0
2006-02-06,6494041689.0
2006-02-07,8731551777.0
2006-02-08,6721582402.0
2006-02-09,5767868742.0
2006-02-10,5779585861.0
2006-02-13,5621309832.0
2006-02-14,5125475701.0
2006-02-15,5915206923.0
2006-02-16,6889036469.0
2006-02-17,5393894628.0
2006-02-20,4625165797.0
2006-02-21,4634345661.0
2006-02-22,4748612576.0
2006-02-23,4143174452.0
2006-02-24,4661548040.0
2006-02-27,4046904109.0
2006-02-28,3875932474.0
2006-03-01,4417155091.0
2006-03-02,5300239815.0
2006-03-03,4461964302.0
2006-03-06,3384122651.0
2006-03-07,3830280828.0
2006-03-08,3284620071.0
2006-03-09,2763521542.0
2006-03-10,2727770294.0
2006-03-13,2520022636.0
2006-03-14,2876199031.0
