date,8841431.WI_成交额
2009-05-27,14534262930.0
2009-06-01,17387351830.0
2009-06-02,19827927260.0
2009-06-03,19299793030.0
2009-06-04,19253026190.0
2009-06-05,18488584470.0
2009-06-08,17743618790.0
2009-06-09,19595984460.0
2009-06-10,20426933250.0
2009-06-11,19848365250.0
2009-06-12,18643342360.0
2009-06-15,14060280210.0
2009-06-16,14508851030.0
2009-06-17,16549632880.0
2009-06-18,18752159350.0
2009-06-19,20849256920.0
2009-06-22,17272661880.0
2009-06-23,16117899820.0
2009-06-24,15666989730.0
2009-06-25,18126668630.0
2009-06-26,17046307530.000002
2009-06-29,18094890170.0
2009-06-30,16378271520.0
2009-07-01,17375868960.0
2009-07-02,18950881680.0
2009-07-03,19730694940.0
2009-07-06,20394499970.0
2009-07-07,21329548690.0
2009-07-08,20536670960.0
2009-07-09,25685655540.0
2009-07-10,25490872390.0
2009-07-13,25112072760.0
2009-07-14,24609691760.0
2009-07-15,26984014620.0
2009-07-16,27007781980.0
2009-07-17,24543072650.0
2009-07-20,28195086530.0
2009-07-21,28527009920.0
2009-07-22,22704350980.0
2009-07-23,23023873510.0
2009-07-24,26008601700.0
2009-07-27,24948691860.0
2009-07-28,28555595290.0
2009-07-29,29441890920.0
2009-07-30,21568512290.0
2009-07-31,23126321660.0
2009-08-03,26595196630.0
2009-08-04,30522341710.0
2009-08-05,30425999780.0
2009-08-06,26956338840.0
2009-08-07,23817253070.0
2009-08-10,19362711880.0
2009-08-11,16632470650.0
2009-08-12,17877912340.0
2009-08-13,14456520290.0
2009-08-14,16214287360.0
2009-08-17,14524205530.0
2009-08-18,10601718120.0
2009-08-19,13044147980.0
2009-08-20,12005163780.0
2009-08-21,16088633070.0
2009-08-24,18569866130.0
2009-08-25,19807192970.0
2009-08-26,20233900410.0
2009-08-27,23775525570.0
2009-08-28,16507917450.0
2009-08-31,14854716560.0
2009-09-01,11457488970.0
2009-09-02,10529780230.0
2009-09-03,15595197860.0
2009-09-04,17456839930.0
2009-09-07,20060206310.0
2009-09-08,17784950990.0
2009-09-09,17752429370.0
2009-09-10,16162363170.0
2009-09-11,17741358650.0
2009-09-14,22060003400.0
2009-09-15,23927184780.0
2009-09-16,24902052760.0
2009-09-17,29523136490.0
2009-09-18,31316238330.0
2009-09-21,20497065760.0
2009-09-22,20408315240.0
2009-09-23,17321757390.0
2009-09-24,14515772700.0
2009-09-25,11555265080.0
2009-09-28,10700889120.0
2009-09-29,9837691640.0
2009-09-30,8610964960.0
2009-10-09,10924908320.0
2009-10-12,12584714460.0
2009-10-13,11531787890.0
2009-10-14,16644797650.0
2009-10-15,14687023230.0
2009-10-16,14671911770.0
2009-10-19,18631924620.0
2009-10-20,23110534810.0
2009-10-21,23181366710.0
2009-10-22,20165294770.0
2009-10-23,23706040940.0
2009-10-26,22172349410.0
2009-10-27,21251168060.0
2009-10-28,16997751489.999998
2009-10-29,16197698580.0
2009-10-30,17187189960.0
2009-11-02,22259469310.0
2009-11-03,27275498670.0
2009-11-04,27215300680.0
2009-11-05,26885987500.0
2009-11-06,30739524650.0
2009-11-09,25365297690.0
2009-11-10,25111767300.0
2009-11-11,23074300600.0
2009-11-12,25969251570.0
2009-11-13,27004910830.0
2009-11-16,34712704940.0
2009-11-17,30101189230.0
2009-11-18,30853717330.0
2009-11-19,35370375480.0
2009-11-20,35867782580.0
2009-11-23,35331631280.0
2009-11-24,45029096760.0
2009-11-25,32299263900.0
2009-11-26,41310194910.0
2009-11-27,27188457770.0
2009-11-30,24419472150.0
2009-12-01,32627113960.0
2009-12-02,38219751930.0
2009-12-03,36034360570.0
2009-12-04,38743286860.0
2009-12-07,24656443040.0
2009-12-08,27437193570.0
2009-12-09,24294886340.0
2009-12-10,19716462470.0
2009-12-11,20940028670.0
2009-12-14,21077353140.0
2009-12-15,20852683640.0
2009-12-16,22312886890.0
2009-12-17,22306083920.0
2009-12-18,18287147380.0
2009-12-21,12819672880.0
2009-12-22,15179849030.0
2009-12-23,13165436850.0
2009-12-24,18504466380.0
2009-12-25,17704426440.0
2009-12-28,18282516260.0
2009-12-29,20370494670.0
2009-12-30,19716683080.0
2009-12-31,19169060730.0
2010-01-04,20731124180.0
2010-01-05,23180904400.0
2010-01-06,23720116470.0
2010-01-07,23833369390.0
2010-01-08,18934403730.0
2010-01-11,24263011510.0
2010-01-12,26730590000.0
2010-01-13,28130418680.0
2010-01-14,29968861540.0
2010-01-15,28416770980.0
2010-01-18,29172310040.0
2010-01-19,29417009360.0
2010-01-20,33414854690.0
2010-01-21,22839340410.0
2010-01-22,23753384590.0
2010-01-25,14663577480.0
2010-01-26,15500675880.0
2010-01-27,12505159690.0
2010-01-28,11948963160.0
2010-01-29,14691210320.0
2010-02-01,15663030460.0
2010-02-02,14036310480.0
2010-02-03,17512156700.0
2010-02-04,18865683690.0
2010-02-05,20476858040.0
2010-02-08,13972978760.0
2010-02-09,12060946060.0
2010-02-10,12179494080.0
2010-02-11,11598155180.0
2010-02-12,13586421510.0
2010-02-22,15251356550.0
2010-02-23,17915112410.0
2010-02-24,22740405090.0
2010-02-25,26614476190.0
2010-02-26,25094031680.0
2010-03-01,28085185970.0
2010-03-02,26216619170.0
2010-03-03,28409884510.0
2010-03-04,31078902090.0
2010-03-05,19600602230.0
2010-03-08,17854658700.0
2010-03-09,19844498670.0
2010-03-10,19264693780.0
2010-03-11,18856507570.0
2010-03-12,18616672720.0
2010-03-15,14250279680.0
2010-03-16,14214104820.0
2010-03-17,20073968550.0
2010-03-18,21048521120.0
2010-03-19,21087150450.0
2010-03-22,23178272520.0
2010-03-23,22995165340.0
2010-03-24,25058873870.0
2010-03-25,25868246310.0
2010-03-26,21638183350.0
2010-03-29,22330576690.0
2010-03-30,23453168140.0
2010-03-31,25686395980.0
2010-04-01,31986943850.0
2010-04-02,28142766960.0
2010-04-06,27874723360.0
2010-04-07,26284452460.0
2010-04-08,29555633570.0
2010-04-09,28646175440.0
2010-04-12,36453804810.0
2010-04-13,36879452080.0
2010-04-14,25825590370.0
2010-04-15,27743604950.0
2010-04-16,20093316180.0
2010-04-19,25314089320.0
2010-04-20,21435917090.0
2010-04-21,27109896470.0
2010-04-22,29329515500.0
2010-04-23,27276773780.0
2010-04-26,22829970080.0
2010-04-27,23816763110.0
2010-04-28,19057050930.0
2010-04-29,19625189720.0
2010-04-30,17071640800.0
2010-05-04,11867650490.0
2010-05-05,15301800860.0
2010-05-06,16739146440.0
2010-05-07,14324340230.0
2010-05-10,14222432980.0
2010-05-11,13850897010.0
2010-05-12,12152499690.0
2010-05-13,13477181190.0
2010-05-14,11933657920.0
2010-05-17,12483466350.0
2010-05-18,11811906900.0
2010-05-19,10501259850.0
2010-05-20,9574285690.0
2010-05-21,11682017280.0
2010-05-24,17469289100.0
2010-05-25,15349993680.0
2010-05-26,11545185450.0
2010-05-27,14980675670.0
2010-05-28,16186846990.0
2010-05-31,14738251260.0
2010-06-01,13057570480.0
2010-06-02,9843656740.0
2010-06-03,13071407940.0
2010-06-04,10269179010.0
2010-06-07,12494890660.0
2010-06-08,13514722460.0
2010-06-09,17303002130.0
2010-06-10,15146851810.0
2010-06-11,13299417940.0
2010-06-17,11013639890.0
2010-06-18,11241826330.0
2010-06-21,10227735450.0
2010-06-22,10819780720.0
2010-06-23,10993794110.0
2010-06-24,9824930650.0
2010-06-25,9717713250.0
2010-06-28,8087245930.0
2010-06-29,11758448350.0
2010-06-30,7704453500.0
2010-07-01,7447120960.0
2010-07-02,9714958920.0
2010-07-05,7052716930.0
2010-07-06,8895594820.0
2010-07-07,8717813440.0
2010-07-08,8819636370.0
2010-07-09,13041844490.0
2010-07-12,12985901110.0
2010-07-13,11575463820.0
2010-07-14,12640975450.0
2010-07-15,11598157660.0
2010-07-16,9488300320.0
2010-07-19,11380246750.0
2010-07-20,17036082590.0
2010-07-21,17594813470.0
2010-07-22,15559246950.0
2010-07-23,15863567660.0
2010-07-26,16409859060.0
